Id,質問,Answer
18778,海外出張精算で、入国費のレシートをもう一度使いたい場合、どうすればよいですか？,海外出張精算で、入国費のレシートをもう一度使いたい場合は、一度コピーしてオリジナルを返却しますが、利用後に必ずTHRへ返却して下さい。
18779,領収書の宛名は？,海外出張精算の領収書の宛名は、原則、豊田通商(株)となります。
18780,費用計算書と領収書を紛失してしまったら？,"海外出張精算で、費用計算書および領収書の紛失の場合、費用計算書を再印刷し、余白部分に「提出途中で紛失」等と明記して、カード明細等の証明書類を添付の上、上長印押印し、再提出してください。

"
18781,日本でパスポートを取得・更新した場合、処理できるか？,"海外出張のためにパスポートを取得・更新する費用は、海外出張が具体的に予定されている状況で発行するものであれば「海外出張のため」と判断されるため、SAP立替精算にて処理できます。ただし、具体的に海外出張が予定されていない状況では「海外出張のため」とは見做されないため、処理出来ません。
なお、パスポート申請・増刷のために購入した収入印紙代・県証紙代は9238支払手数料雑口（不課税）、写真代は9329雑費（課税）、代理店を通して支払った場合の申請手続きの手数料は9239支払手数料雑口（課税）となります。"
18782,パスポート取得・更新した場合の費用について、旅行代理店を通さずに、個人で立て替えた場合の処理は？,"海外出張のためにパスポートを取得・更新する費用は、海外出張が具体的に予定されている状況で発行するものであれば「海外出張のため」と判断されるため、SAP立替精算にて処理できます。ただし、具体的に海外出張が予定されていない状況では「海外出張のため」とは見做されないため、処理出来ません。
なお、パスポート申請・増刷のために購入した収入印紙代・県証紙代は9238支払手数料雑口（不課税）、写真代は9329雑費（課税）、代理店を通して支払った場合の申請手続きの手数料は9239支払手数料雑口（課税）となります。"
18783,パスポート取得・更新した場合の費用について、代理店を通すと手数料も発生するが会社負担となるか？,"海外出張のためにパスポートを取得・更新する費用は、海外出張が具体的に予定されている状況で発行するものであれば「海外出張のため」と判断されるため、SAP立替精算にて処理できます。ただし、具体的に海外出張が予定されていない状況では「海外出張のため」とは見做されないため、処理出来ません。
なお、パスポート申請・増刷のために購入した収入印紙代・県証紙代は9238支払手数料雑口（不課税）、写真代は9329雑費（課税）、代理店を通して支払った場合の申請手続きの手数料は9239支払手数料雑口（課税）となります。"
18784,海外出張申請で、部付のためＧＬがいない部署の承認者は？,"海外出張申請で、部付のためＧＬがいない部署の承認者は、以下の通りとなります。
1.【承認者（ＧＬ）】・・部長に承認してもらい、
2.【承認者（部長）】・・部長に承認してもらう。
　よって、部長には２回承認してもらうことになります。"
18785,海外出張申請で、 ＧＬが不在の場合と、 部長が不在の場合、承認者はどのようになるか？,"海外出張申請で、（Ａ） ＧＬが不在の場合と、（Ｂ） 部長が不在の場合、承認者のガイドラインは以下の通りとなります。

（Ａ）ＧＬが不在の場合
1.M4職以上の方を選択
     【承認者（ＧＬ）】・・部長に承認してもらい、
2. 【承認者（部長）】・・部長に承認してもらう。　
      部長には２回承認してもらうことになります！

（Ｂ）部長が不在の場合
・M4職以上の方を選択

なお、部長承認欄の変更は、TWINSのシステム上、
申請者本人では変更ができません。
ＧＬの方が承認する際に、次承認者の部長欄を
該当の方に変更の上、承認してもらってください。"
18786,海外出張申請システムの承認者の変更方法について,"海外出張申請システムの承認者の変更方法は、以下の通りとなります。
「承認者変更」を選択し、承認者を変更すると
【初期設定に戻す】
【次回以降も記録】
【今回のみ変更】
と表示されます。（掲示板などの申請と同じ）

『次回以降も記録』を選択すると、人事異動で変わっても
承認者は固定されたままになっています。
『初期設定に戻す』でリセットすれば、人事異動と連動します。"
18787,海外出張申請で、所属が「部付」となり、申請画面上、【ＧＬの入力必要】となりますが、 直属の上司は部長のため、ＧＬ不在の状況です。申請方法をご教示願います。,"海外出張申請で、部付のためＧＬがいない部署の承認者は、以下の通りとなります。
（1）【承認者（ＧＬ）】・・部長に承認してもらい、
（2）【承認者（部長）】・・部長に承認してもらう。
　よって、部長には２回承認してもらうことになります。"
18788,海外出張申請で、部長が長期休暇を取る際、承認者が部長になる方々は、システム上で代理の方に申請が変更できるようなしくみになっておりますでしょうか？,"海外出張申請で、通常、部長不在時には、代行されている部長職の方（副部長）を承認者に選択していただければ結構です。
海外出張はすべて部長決裁となりますので、部内の出張者すべてが対象となります。

なお、部長承認欄の変更は、TWINSのシステム上、申請者本人では変更ができません。
ＧＬの方が承認する際に、次承認者の部長欄を該当の方に変更の上、承認してもらってください。"
18789,海外出張申請で、ＧＬが承認した後に、再度自分が承認した内容を見たい場合は？,"海外出張申請でＧＬが承認した後に、再度GL自身が自分で承認した内容を見たい場合、システム上、未承認の画面しか見れません。
よって承認が完了したものは、閲覧できません。"
18790,海外出張申請で、3月中に出張申請した後に、4月からグループコードが変更になったら？,海外出張申請で、3月中に出張申請した後に、4月からグループコードが変更となった場合、ＴＨＲで修正できます。出張ＮＯ．をご連絡の上、新しいグループコード修正後の精算届を作成してください。
18791,海外出張申請で、承認後出張先を１ヶ所変更する場合,海外出張申請の承認後、出張先を変更する場合は、上長承認のうえ、メールにてTHR各拠店担当へ確認して下さい。
18792,海外出張申請で、２つの出張の間に1日しかない。それでも出張申請は２件作成すべきか？,海外出張申請で、２つの出張の間に1日しかない場合について、一旦帰国しているのであれば、保険期間が切れてしまうため、出張申請は２件作成していただく必要があります。
18793,海外出張申請を承認後、同日に出張中止処理がされた場合,海外出張申請承認後、同日中に出張中止処理がされた場合は、その後特に処理することはありません。そのままの状態にしておいて結構です。
18794,海外出張の日当を1日短く付け、帰国日は国内日当で精算してしまったどうすればよいか？,海外出張の日当の過払い分については、給与にて天引きするので、THR各拠店担当へご連絡下さい。
18795,海外出張システムのマニュアルは？,"海外出張システムマニュアルについては、次のTTCライブラリーにて掲載していますのでこちらをご確認下さい。　　　　　　　　　　　　　　　　　　　　　　　　　　
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T031295?OpenDocument"
18796,海外出張精算漏れがあった場合どうすればよいか？,"海外出張精算完了後に、申請漏れがあった場合については、SAP立替金精算にて処理します。摘要に出張ＮＯ．や理由等をご記入ください。
なお、円換算する際は該当の海外出張の帰国日レートで費用計算書も作成して、添付してください。"
18797,立替金口座の変更登録をしたら、いつから新口座へ反映されますか？,"立替金口座を変更登録した場合の新口座への反映時期は、THRが登録した翌日から新しい口座が使用可能となります。
原則、変更届に記載のご希望日に登録されますが、担当者不在や定時後に申請されたものについては登録日がずれることもございます。
正確な日付を知りたい場合は立替金口座登録担当者へご連絡下さい。"
18798,"お客様手配のツアーで海外出張する場合の申請・精算は？
ツアーなので、細かく費用が分かれていません。","お客様手配のツアーで海外出張する場合の出張申請は、通常通り作成して、費用は概算額を入力してください。
その後、海外出張精算時において現地で本人が立替えた金額と日当については、出張精算対象としてください。
なお、お客様手配のツアー分は経費支払処理となりますが、ツアー費用の明細は取り付ける様にしてください。
"
18799,海外出張精算で、同行者（TTC社員）の宿泊代を立て替えた場合の処理は？,"海外出張の際に同行者の宿泊代を立て替えた場合は、海外出張システムの精算届で、一緒に精算してください。
同行者の費用負担先と立替者の負担先が異なる場合は「所属Ｇコードと他Ｇコードで負担」を選択し、他Ｇコード欄に立替分を入力して精算ください。
その際に、摘要欄に、「○○分の宿泊代」とわかるように明記してください。"
18800,海外出張精算届を入力しても、合計欄に反映されません,"海外出張精算届の金額合計欄に数字が反映されない場合としては、，（カンマ）や．（ピリオド）などを金額欄に入力している可能性があります。金額欄には数字のみを入力してください。

例）金額欄に、「９１．０８９」円と入力していた。
⇒「．」は不要です。「９１０８９」円と数字のみ入力してください。"
18801,"出向先負担の海外出張精算が、「0円」で申請できない
","出向先負担で海外出張精算をする場合、以下の状態だと申請時にエラーとなります。

・費用明細欄に金額の入力がされていない
・費用計算書ファイルが添付されていない

よって、精算額が0円の場合は、ブランクの費用計算書で結構ですので、何かファイルを添付して再度申請してください。"
18802,出向受入者や派遣社員などが海外出張のため保険に加入する場合の精算方法は？,"コーポレートカードに加入できない出向受入、派遣社員等が疾病・傷害治療保険に加入する場合は、保険を主管部にして、SAP立替金精算で勘定科目9250保険料にて精算処理して下さい。
ただし、保険でカバーされない治療は個人負担となりますので、ご注意ください。

詳細は次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004032?OpenDocument"
18803,海外出張申請届が却下されたとき、保険申込も自動的に取消となる？,"会社付保の保険については、保険申込は毎月末に締め、保険部へデータが流れます。月末時点で承認されている出張届についてデータを流すため、却下されたデータは保険申込も取り消されます。
なお、個人で掛けた保険は、ご自身でキャンセルしてください。"
18804,"海外出張でビザを取得しなければならないため、任意加入保険を申し込んだ。
通常は個人負担だが、部署負担にしてもらえないか？","海外出張における任意保険については原則個人負担のため、個人加入の保険料は会社負担とはなりません。
ただし、チェコについては例外となりますので、詳細は次のTTCライブラリーを参照してください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG001554?OpenDocument"
18805,海外出張ｼｽﾃﾑで、「保険申込みへ」から先へ進めません。,"海外出張システムにおいて、保険申込みから先に進めない場合は、出発日の年月日が間違っていませんか？（年度の切替時に多い入力ミスです）
正確な日付を確認の上、入力してください。
"
18806,海外出張時の会社付保について、ビザ申請で、付保証明書（英文）が必要です。発行していただけますか？,海外出張時の保険付保証明書については、保険部へ直接依頼してください。
18807,海外出張時の会社付保の保険内容は？,"海外出張時の会社付保の保険内容は、以下の通りです。

保険会社：三井住友海上（株）
証券番号：E806142772
傷害後遺障害補償：10万円
救援者費用：1,000万円
レンタカー特約（アメリカ・カナダに限る）

なお、更に詳しい補償内容や任意保険の補償内容等を知りたい方は、豊通保険パートナーズ�の団体営業第二部　団体保険営業グループへお問合せください。"
18808,海外旅行総合保険の申込書の送付先は？,海外旅行総合保険の申込書の送付先は、名古屋THRの給与部豊通給与Ｇへ送付してください。
18809,海外出張中に病院に行った場合,"海外出張中に病院に行った場合、コーポレートカードに加入していれば、保険加入者と保険会社との直接のやりとりにて、保険適用していただきます。（ただし歯科治療はカードの保険対象外）

詳細については、次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004032?OpenDocument"
18810,海外出張者は何故コーポレートカード加入するの？,"海外出張中に重篤な病気を患った場合、怪我をした場合に備え、海外旅行傷害保険付帯のコーポレートカードにご加入をお願い致します。

詳しくは次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004032?OpenDocument
"
18811,出向受入者や派遣社員はコーポレートカードに加入できないが保険はどうなる？,"コーポレートカードに加入できない方（出向受入、派遣社員など）については、
以下のいずれかの方法で、300万円までの疾病・傷害治療保険を必ずカバーするようにして下さい。
1.出向元、派遣元会社が付与している保険を利用
2.個人のクレジットカード付帯の保険を利用
3.疾病・傷害治療保険への加入

各治療の補償額（300万円まで）の保険を主管部にて精算して下さい。上記以外は「個人負担」となりますので、予めご了承下さい。

詳しくは次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004032?OpenDocument
"
18812,初めての海外出張だが、語学研修生として渡航していた場合、支度金は支給されますか？,"語学研修生として海外出張する際の支度金については、支給対象外です。

なお、すでに「はじめての出張」でいったん本日承認されてしまった場合には、本日のデータ送信（17：45）までに、「初めての海外出張ですか？」を“いいえ”に変更すれば、支度金対象外にすることができます。（通常の金額訂正等と同じ）
"
18813,"海外出張申請で、2件同時申請したところ、初めての出張なのに「支度金」が支給されないのは何故？
●Ａ・・・支度金あり（7/29〜8/4）と
●Ｂ・・・支度金なし（8/26〜9/8）の２つの申請を同日に申請","海外出張申請において同日中に2件申請・承認を行ってしまい、支度金が支給されない場合は、SAP立替精算で支払処理をお願いします。

なお、例えば以下のＡとＢの2件の海外出張申請があった場合には、
●Ａ・・・支度金あり（出張期間：7/29〜8/4）
●Ｂ・・・支度金なし（出張期間：8/26〜9/8）

1. 「Ａ・・・支度金あり」の申請を先に承認し、
2. 翌日以降、「Ｂ・・・支度金なし」の申請を承認してください。
今後１.及び２.のケースについては、同日中に承認処理しないようにお願いします。"
18814,出向受入者の海外出張支度金は支給される？,"出向受入者の海外出張支度金については、原則支給対象外の為、申請画面に表示されません。
ただし、出向受入者は部署の了承があれば支給対象となりますので、、GLよりその旨メールにてTHR担当者までご依頼ください。"
18815,国内出向者が海外出張する場合の支度金について,"国内グループ会社等の出向者が初めての海外出張に行く場合、
TTC負担でも出向先負担でも、支度金は支給されます。
負担先は主管部署となります。
（支度金は、TTC用務の場合も出向先用務の場合も、
　主管部負担となります。）

処理としては、海外出張システムの出張申請を提出して下さい。
出向者の出張申請の場合、TTC負担か出向先負担かを
選択するようになっていますので、今回は、出向先負担として申請して下さい。
（出向先負担として申請しても、支度金は主管部負担となります）"
18816,海外出張時の仮出金はいくらまで？,"海外出張における仮出金の支給については、原則、日当相当額を上限とします。
仮出金については、最終精算時に相殺されることになりますので、相殺しきれなかった不足額が発生した場合は、給与天引となります。
長期出張の場合は、一ヶ月毎の精算が原則になっていますので、仮出金は必要最低限の金額とし、毎月SAPの立替金精算で精算をしてください。"
18817,"海外からの出向者は、ある一定期間経過すると一時帰国が可能となりますが、海外出張精算はどうやる？
","海外からの出向者の海外出張申請については、「0（ｾﾞﾛ）円」で申請してください。　
なお、添付ファイルがないと申請エラーとなるので、ブランクの費用計算書を添付してください。
"
18818,"海外からの出向者が出向受入解除となった時の帰国旅費は？
","海外からの出向者が受入解除となった場合の帰国旅費については、以下の通りです。
・出向協定書に、TTCと出向元のどちらの会社の費用負担となっているかを確認します。
・TTC負担で支払う場合は、会社指定の旅行代理店を通して処理してください。
　"
18819,国内出向者が海外出張する際の承認先・申請先は？,"国内グループ会社等への出向者が、海外出張する場合の承認先および申請者については、名古屋管轄となり名古屋THRにて承認いたします。
申請画面の左上に申請先が（名古屋申請）と表示されます。"
18820,国内出向者が、海外出張した時に、出張費用を出向先が100％負担した場合の申請処理は？,"国内グループ会社等への出向者が海外出張する場合の出張申請は、以下の通りです。
１．TTC費用負担の海外出張の場合・・・・通常の出張届作成と同じです。
２．出向先が出張費用を100％負担する場合・・・次のTTCライブラリー「海外出張システムマニュアル」のEXCELファイルの「出向者の出張」シートを参照ください。

https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T031295?OpenDocument"
18821,海外出張時に、ゲストハウスに泊まった場合の宿泊費は？,海外出張中に、ゲストハウスに泊まった場合の宿泊費は、機中泊や知人宅に泊まった場合と同様、20ドルとなります。
18822,海外出張時に、機中泊（又は車中泊）とホテルデイユースの場合、両方請求することができるか？,海外出張時に機中泊（又は車中泊）とホテルデイユースが重複する場合は、どちらか一方のみが精算対象となります。通常、デイユースのほうが金額が高いので、高い方の金額を精算対象とします。
18823,海外出張時に、取引先手配の宿泊があった場合、20ドルをつけることができるか？,海外出張時に、取引先手配の宿泊があった場合、宿泊費として20ドルの手当をつけることは出来ません。
18824,"海外出張のフライトが東京発であったため東京へ移動し、前泊した場合、国内の日当は申請しないという理解であってるか？
","海外出張のため東京や成田などに国内移動し、前泊した場合の日当については、移動した日とフライト日が異なる場合、移動日については国内の日当が支給されます。

詳しくは、海外旅費規程第8条「国内旅費規程との関連」をご確認ください。
『出発日以前及び内地到着日以降の交通費・宿泊費は国内旅費規程による。但し、到着日及び出発日の日当は本規程により支給する。』
"
18825,"海外出張の際に、名古屋本社勤務の方がフライトの関係で、羽田空港に到着後、そのまま東京で一泊し、翌日に名古屋へ帰着した場合の帰国日は？




","海外出張時に東京（羽田空港）に到着後、そのまま東京に宿泊し、翌日名古屋へ帰着した場合、出張期間は所属店出発日・所属店帰国日を入力してください。（会社付保のため）

例えば、海外出張期間は9/5〜9/8で羽田空港に9/8の23時に到着し、そのまま東京に一泊して翌日9/9に名古屋に帰着する場合の出張期間は、9/5〜9/9となります。

但し、9/9の日当は、国内出張扱いとなるので、海外出張の日当はつきません。
よって、海外出張費用計算書の日当計算期間は9/5〜9/8で、9/8の帰国日レートでの精算となります。

なお、東京での一泊は、国内出張旅費規程で処理して下さい。（9/8の東京宿泊費と9/9の日当は、国内出張旅費ｼｽﾃﾑでの精算となります。
　　　　　　　　　"
18826,国内出張と同様に、海外出張時の宿泊費の上限はありますか？,"海外出張旅費の宿泊代の上限については、国によって事情も異なるため、上限設定は設けていません。基本的に上長承認の実費精算としていますが、高額の場合は、THR各拠店担当より確認させていただいています。
なお、お客様同行等、特別な事情があり、高額になりそうな場合は、事前に人事総務部に確認していただき、費用計算書にその旨ご記入ください。"
18827,"海外出張で、現地の主催者側から参加日当<US$1,100ドル>を現金で受け取った。
交通費も含まれていますが、出張処理は何か必要ですか？",海外出張中に、現地主催者側から日当などを現金で受け取った場合は、海外出張費用計算書に、受取額をマイナス金額で記載して、差額を精算して下さい。
18828,海外出張が人事研修の一環であるが、日当は支給されますか？,"人事研修のための海外出張の日当については、通常通り支給されます。
但し、国内出張の場合、会社主催の集合研修は日当支給しませんので、ご注意ください。"
18829,機中泊の考え方は？,"海外出張の機中泊の考え方については、【出張日数−１日＝宿泊日数】の範囲内で考えます。
同日中にホテル宿泊がある場合は、機中泊とホテル代のどちらかを選択して下さい。
また、フライトの関係でアーリーチェックイン、レイトチェックアウト、デイユース、空港内シャワー等を利用する場合、ルームチャージの実費を支給しますが、機中泊分は支給対象外となります。"
18830,海外出張で出張期間が１ヶ月延びた場合はどこへ連絡すればいいの？,"海外出張が延長となった場合は、THRにて出張期間を修正しますので、THR各拠店の担当へ連絡して下さい。
なお、実際の保険適用期間は精算届を提出した時に確定となります。"
18831,海外出張精算で、食事代やクリーニング代（ランドリー代）は個人負担ですか？,海外出張時のホテル代の精算について、朝食代、Ｍｉｎｉ Ｂａｒ、クリーニングﾞ代は、原則として個人負担となります。
18832,"海外出張精算で、すでに精算済みの宿泊費のカード引き落としが無いため確認したら、現地法人で負担してくれていたことがわかった。
返金したいが、どう処理したらよいですか？",海外出張旅費で既に精算済みの費用を返金したい場合は、【過払返金処理】として給与天引きしますので、THR各拠店担当へ連絡して下さい
18833,プロジェクトの開発費で、海外出張システムとは別で立替精算処理したい。,"海外出張旅費システムとは別で精算する場合は、経費支払又はSAP立替精算で処理出来ます。
なお、開発費は社内決裁の取得が必要となりますので、申請手続きをして下さい。
"
18834,"海外出張で7月出発のエアチケット代を6月に購入。ＪＭＢ振替えではなく、旅行会社に請求書を発行してもらえば、6月計上できますか？
","海外出張において、出張前に発生した費用は役務が完了しておらず、未確定債務となるため費用計上はできません。
よって、例えば7月出発予定のエアチケット代を6月に購入しても、実際の使用年月が7月であれば、経費支払処理でも6月費用計上は出来ません。"
18835,海外出張精算の四半期決算月の処理について、教えて下さい。,"海外出張精算の四半期決算月（6月・9月・12月・3月）の計上処理については、次のとおりとなります。

例） ６月計上の場合
 ■海外出張システム
　費用計算書の提出は、7月第一営業日の午前中が締め切りです。
　7月第二営業日定時までにTHRで承認されたものが、6月計上となります。

但し、帰国日が7/1以降のものを、7月第二営業日定時までに最終承認しても７月計上になります。
　
■経費支払・SAP立替精算
7月第三営業日承認までが６月計上となります。伝票の提出は、7月第一営業日定時が締め切りです。

　なお決算月に、掲示板にて締め切りについて掲載しますので、ご確認ください。"
18836,決算月をまたぐ出張時に、決算月分のみ先に計上したい場合は？,"海外出張精算において、決算月をまたぐ出張時に決算月分のみを先に計上したい場合は、途中精算となるので、海外出張システムではなく、立替精算（ＳＡＰ）となります。
もし領収書がコピーしかない場合は、コピーをいったん添付して、後で差し替えとなります。また残りの精算（翌期分）については、海外出張システムで通通り処理します。"
18837,海外出張精算で、決算月に、出発日未定（4月以降の予定）の航空券を3月計上したいが可能ですか？,海外出張精算で、出発日が未定のものは、役務が完了しておらず確定債務とはなりませんので、今期（3月）に費用計上処理できません。
18838,年末年始の海外出張システムは？,"年末年始の海外出張旅費システムについては、次のとおりです。

年末年始の12/25〜翌年1/4は、THR承認はできますが、
ホストへのデータ送信はされません。
その間に承認されたデータについては、
1/5に承認されたものと同じタイミングで
ホストへ送信されますので、ご留意ください。

"
18839,海外出張精算で、旅費交通費（宿泊費・日当）を現地法人が負担した場合の処理は？,"現地法人が宿泊費や日当を負担した場合の海外出張旅費精算については、
日当支給日数：　０日間
立替金合計：　　　　０円　（ゼロ精算）
システムの特記事項に、『旅費交通費（宿泊費・日当）は現地法人負担』と入力して、処理してください。"
18840,海外出張時のハンドキャリーについて,"海外出張時のハンドキャリーについては、次のTTCライブラリーをご参照ください。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG009160?OpenDocument
"
18841,海外出張時の予防接種の要・不要の判断は？,"海外出張に伴う予防接種（要/不要）の判断については、次のTTCライブラリーに掲載している「海外安全ハンドブック」を参照してください。 
なお、要・不要は本人判断となります。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG001803?OpenDocument"
18842,"海外出張の際の予防接種（国内発生分）を収入印紙で
支払った場合の勘定科目は？","海外出張に備えて国内で予防接種を受けて収入印紙で支払った場合は、支払方法に関係なく、9199 厚生費 雑口（課税）の勘定科目となります。
　　　　"
18843,海外出張時の勤務表の入力は？,"海外出張時の勤務表の入力については、ＴＴＣライブラリー「ワークルールハンドブック」に掲載されていますので確認下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004445?OpenDocument

勤務管理システムでは、「海外出張」とチェックするボタンがあり、
「9:00〜17:45」自動入力され、みなし労働となります。
残業した場合は、上長が認めれば申請可能です。

休日出勤の場合は、日本のカレンダーを基準として入力を行います。
日本の休日に現地で仕事をしたら、その日は休日出勤又は振替出勤扱いになります。
"
18844,"
同一国長期出張　183日ルール（タイは180日）","海外出張の同一国長期出張ルールについては、次のTTCライブラリーに掲載していますのでこちらを確認下さい。
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004981?OpenDocument"
18845,一般派遣社員が長期海外出張の申請をする場合には？,一般派遣社員の方が長期海外出張の申請をする場合は、発生の都度、派遣元会社に問題ないか確認が必要です。
18846,"長期（１ヶ月以上）の海外出張の場合は、精算はどうするの？
","1ヶ月以上の海外出張精算については、原則、1ヶ月ごとに途中精算することになります。
途中精算する際に、通常の出張システムで精算してしまうと、帰国したことになってしまいます。
そのため、通常通り、海外出張費用計算書を作成したら、部署の方に計算書をメールで送付いただき、SAPの立替精算処理をして下さい。
また、領収書は必ずオリジナルを添付となりますので、部署宛に郵送してください。

部署の方は、「立替精算依頼書」に費用計算書と領収書を添付の上、ＴＨＲ各拠店の担当まで提出して下さい。

帰国された際は、最終の精算のため、通常通り、海外出張システムの精算届を作成して下さい。精算届作成時の出張期間は、実際の出発日・帰国日となりますが、
日当支給日数は、途中精算した日数を引いてください。

なお、同一国に長期出張する際の日数制限（183日ルール）には抵触しないようご注意ください。詳細については次のTTCライブラリーをご参照ください。 
https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/GG004981?OpenDocument"
18847,指定旅行代理店は？,"海外出張において、会社指定の旅行代理店とは、TTCライブラリーにて掲載している、契約旅行代理店４社（トヨタツーリスト、阪急交通社、エヌオーイー 、ＭＯツーリスト）となります。　　　　　　　　　　　　　　　　　　　　　　　　　　　　
契約以外の代理店を利用したい場合は、THR労務厚生部労務Ｇにご相談下さい。
"
18848,海外出張時のビザ手続きは？,海外出張において、VISA（ビザ）の手続きについては、会社指定の旅行代理店に直接依頼してください。
18849,"退職後に、未精算が発覚したが、どうしたらよいか？
海外出張システムは、「精算届作成待」状態です。","退職後に海外出張の未精算があった場合、『精算届作成待』状態であれば、費用負担部署にて立替金精算の処理をしてください。後日、立替金口座へ振り込みます。
計算書をもとにSAPの立替精算依頼書を作成し、書類一式をTHRへご提出ください。退職後1〜2ヶ月は、立替金口座の登録はそのまま入金できますので早急ご対応をお願いします。
出張届は、「出張中止」処理して下さい。
また、保険部に、未精算で退職したため、中止処理したことと、実際の出張期間を連絡してください。"
18850,"豊田通商から関連会社へ転籍のため、2月末日で豊田通商を
退職となるが、退職後の精算方法と振込はどうなりますか？
（海外出張の帰国日が「2月末日」、出張申請＆上長承認が「2月末日」完了）
2月末日分として夜間処理には間に合いますが、実際振り込む際には、退職しています。
","転籍や退職後の海外出張旅費精算については、当月末日で退職されるので、翌日以降は、TWINSが利用できなくなります。
そのため、海外出張精算は、最終出社日までに必ず、システム申請していただく必要があります。
なお立替金口座のデータはすぐには削除されませんので、承認は、退職日以降でも問題ありません。ただし、いつまでも振込可能ではありませんので、1週間を目処に最終承認をして下さい。
なお、出向受入者と派遣社員は、立替金口座の削除が早いため、退職日に必ず精算申請していただくようお願いします。"
18851,海外出張が中止となったがどうすればよいか。,"海外出張申請の最終承認後に出張中止となった場合は、電子申請にて「出張中止」をして下さい。
なお、仮出金がある場合は、THR各拠店担当へ連絡して下さい。"
18852,海外出張申請をして、精算届を開いてしまったが、実際は出張中止になった場合、システム上、「ドラフト保存中」で残ってしまっているが？,海外出張申請をして、その後精算届を開いてしまったが、実際は出張中止になりシステム上、「ドラフト保存中」で残ってしまった場合、精算届を開くと、システム上は帰国したと認識されるため、「出張中止」というボタンが無く処理できません。THRにてシスコムへデータ削除のメンテナンス依頼をしますので、THR各拠店の担当へ連絡して下さい。
18853,"海外出張精算で、帰国日を過ぎると、「精算届けを出してください」と精算するまで督促メールが届く。
帰国日が延長になり、帰国日を修正したのですが、まだ督促メールが届くのは何故ですか？","海外出張届承認完了した後、帰国延長となった為、人事部にて帰国日を延長を行ったにも関わらず、精算督促メールが送信される場合は、以下の通りとなります。

■原因について
精算督促メール送信判定は、以下の仕組みとなっています。
　・初回（出張届の帰国日より７日経過後、送信）
　・２回目以降（初回送信日より７日経過後、送信）

■対応について
初回送信をされていない状態に、豊通シスコムにてデータコンバートすることで督促メールをストップすることが可能です。その場合にはお手数ですが、メンテナンス依頼書が必要となりますので、THR各拠店担当へ連絡して下さい。

"
18854,海外出張費用計算書のエクセルファイル（マクロ）が作動しません。,"海外出張費用計算書のエクセルにはマクロが含まれています。エクセルファイル（マクロ）が作動しない場合には、次のTTCライブラリーを参照ください。

https://twins-a3.toyotsu.co.jp/AP0103/KeijiPub.nsf/vwDocNo-Link-Teikei/T005659?OpenDocument"
18855,"海外出張システムでエラーが発生して、出張申請が出来ません！

例外エラーが発生しました。
fumctionスタックトレース：
anonymous->anonymous->JS00_FileSave->JS00_FileSave->anonymous->anonymous->doClick->〔anonymous〕->*end*
","海外出張システムでエラーが発生した場合は、ご利用いただいたＯＳ，インターネットエクスプローラのバージョンを確認してください。
海外出張旅費の動作保障環境としましては、Windows Xp + IE6となっています。
"
18856,海外駐在員の海外出張旅費を、豊田通商（TTC）で負担して処理をしたい場合、SAPの立替金精算で処理出来ますか？,"海外駐在員の海外出張旅費は、原則として現地負担での処理となります。
"
18857,海外出張時に、会議で「昼食代＋会議室使用料」の合計額が領収書に記載されているのみで、それぞれの明細金額が無く、詳細がわからない場合は？,海外出張時に現地で会議室を利用したが、詳細な明細がないときは、9295賃借料（海外）で処理して下さい。
18858,海外出張精算で、航空保険特別料金（非課税）の勘定科目は？,海外出張における航空保険特別料金（非課税）の勘定科目は、9161海外出張旅費です。
18859,海外出張申請の承認者変更したいがどうすればいい？,海外出張電子申請の承認者変更については、承認者の一つ前の人が変更可能です。例えば、承認者（GL）を変更したい場合は、提出者本人が変更、部長を変更したい場合は、承認者GLが変更可能です。
18860,海外出張時にお土産に対する関税が発生した場合の勘定科目は？,海外出張時のお土産代に対する関税の勘定科目は、お土産代を取得するための附属費用となりますので、9142交際費となります。
